Orientation Sensor Raw Data Test

Current Temperature: 26 C

Calibration status values: 0=uncalibrated, 3=fully calibrated
accelerometer_x	accelerometer_y	accelerometer_z	magnetometer_x	magnetometer_y	magnetometer_z	euler_x	euler_y	euler_z	linearAcceleration_x	linearAcceleration_y	linearAcceleration_z	gravity_x	gravity_y	gravity_z	quaternion_w	quaternion_y	quaternion_x	quaternion_z	calibration_system	calibration_gyro	calibration_accel	calibration_mag
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0000	0.0000	0.0000	0.0000	0	0	0	0
-0.56	9.27	4.79	27.56	-1.88	-17.87	333.63	-14.94	0.63	2.07	12.37	-6.30	-2.47	0.09	9.48	0.9684	0.1194	0.0059	0.2186	0	0	0	1
3.26	7.49	15.70	19.87	-4.88	-12.56	358.38	3.56	-43.69	2.07	0.50	9.55	0.76	6.97	6.85	0.9145	-0.0615	0.3999	-0.0062	0	0	0	1
1.03	7.60	12.80	13.25	-5.56	-22.87	350.88	-2.81	-25.19	1.52	3.43	3.94	-0.49	4.17	8.86	0.9775	0.1146	0.1302	0.1199	0	0	0	2
-2.26	10.16	-0.91	30.06	1.25	-3.88	342.94	-35.06	-3.88	3.36	9.61	-8.92	-5.63	0.54	8.00	0.9474	0.2986	-0.0322	0.1100	0	0	0	2
-0.63	9.43	16.10	31.69	9.38	-10.56	358.56	-7.06	-21.81	0.57	5.81	7.07	-1.21	3.61	9.03	0.9755	0.0412	0.2159	0.0047	0	0	0	2
-0.93	12.32	2.80	19.25	-0.56	-25.50	358.19	5.88	-31.50	-1.94	7.22	-5.51	1.00	5.09	8.31	0.9478	-0.0812	0.3084	-0.0068	0	0	0	2
-0.62	3.72	7.17	15.06	-6.38	-30.06	19.06	-8.56	-27.19	0.83	-0.71	-1.44	-1.46	4.43	8.62	0.9664	0.1022	0.1716	-0.1621	0	0	0	2
-1.19	9.59	3.56	28.00	6.19	-23.69	15.69	-8.63	-38.00	0.28	3.62	-4.07	-1.47	5.97	7.63	0.9155	-0.0037	0.3829	-0.1237	0	0	0	2
2.96	31.19	-1.71	15.38	-17.00	-27.87	356.38	23.81	-62.56	-1.00	23.23	-5.84	3.96	7.96	4.12	0.8065	-0.2717	0.5232	-0.0447	0	0	0	2
-2.53	8.84	-5.53	14.38	-13.50	-30.56	18.25	-6.00	-45.94	-1.50	1.84	-12.31	-1.04	6.95	6.83	0.9123	0.0008	0.3910	-0.1218	0	0	0	3
-2.77	2.47	3.16	22.00	-9.38	-27.87	20.75	-6.69	-44.06	-1.68	-4.09	-3.66	-1.14	6.77	6.99	0.9162	-0.0007	0.3712	-0.1508	0	0	0	3
-3.26	6.82	-1.11	27.87	-2.88	-24.06	10.56	-13.19	-27.81	-1.70	3.45	-5.64	-2.24	4.46	8.43	0.8425	0.2142	0.1714	0.4636	0	0	0	3
-4.44	11.20	6.32	28.75	0.69	-23.06	295.56	-14.63	-26.56	-1.96	6.95	-2.16	-2.48	4.24	8.48	0.8137	0.2394	0.0897	0.5220	0	0	0	3
-4.57	6.59	6.67	32.06	2.56	-20.50	295.63	-18.19	-24.50	-1.50	2.72	-1.79	-3.06	3.86	8.47	0.8168	0.2451	0.0878	0.5148	0	0	0	3
-4.22	7.05	5.27	32.06	0.69	-20.50	294.31	-16.50	-25.62	-1.43	2.98	-3.20	-2.78	4.06	8.47	0.8090	0.2388	0.1041	0.5269	3	0	0	3
0.65	22.23	12.50	27.69	-5.50	-27.06	311.13	2.56	-52.06	0.21	14.50	6.48	0.43	7.72	6.02	0.8195	0.1739	0.4818	0.2570	3	0	0	3
4.71	16.29	-33.06	27.69	-9.38	-24.69	294.94	-26.62	-57.25	8.24	7.34	-41.45	-4.39	7.37	4.73	0.7230	0.4364	0.2911	0.4495	3	0	0	3
-3.80	9.23	-6.11	31.19	-12.75	-17.19	302.88	-21.06	-56.00	-0.27	1.64	-11.23	-3.53	7.58	5.11	0.7633	0.3976	0.2773	0.4271	3	0	0	3
-5.39	8.49	3.21	34.06	-11.69	-15.69	298.56	-22.56	-54.00	-1.74	1.94	-2.53	-3.76	7.32	5.31	0.7510	0.4106	0.2441	0.4559	2	0	0	3
-4.53	8.37	0.91	34.50	-10.88	-12.25	292.56	-25.37	-54.44	-0.32	1.16	-4.23	-4.20	7.20	5.15	0.7217	0.4424	0.2076	0.4902	2	0	0	3
-5.28	6.59	-1.48	35.88	-10.56	-7.88	294.25	-34.44	-44.94	0.27	0.87	-7.20	-5.55	5.71	5.71	0.7912	0.4259	0.1031	0.4266	2	0	0	3
26.30	26.96	-39.22	28.87	-14.19	23.25	248.56	-32.06	-103.87	31.51	18.90	-37.23	-5.21	8.06	-1.99	0.4868	0.6942	-0.0092	0.5302	2	0	0	3
4.88	22.38	-27.26	38.19	-6.06	8.06	262.50	-40.94	-84.50	11.31	15.01	-27.97	-6.38	7.41	0.70	0.5020	0.6650	0.0078	0.5529	2	0	0	3
-3.98	10.08	-2.97	35.69	-12.50	10.75	271.56	-40.44	-71.87	2.50	3.20	-5.50	-6.36	7.09	2.32	0.5667	0.6095	0.0425	0.5528	2	0	0	3
-4.87	9.55	-0.22	35.25	-14.50	7.38	272.56	-38.44	-63.00	1.22	2.71	-3.70	-6.10	6.84	3.47	0.5981	0.5605	0.0428	0.5712	2	0	0	3
-4.95	8.33	0.70	36.88	-13.69	4.19	272.75	-37.94	-62.19	1.06	1.55	-2.79	-6.03	6.84	3.60	0.5983	0.5611	0.0500	0.5699	2	0	0	3
-4.11	5.02	2.46	36.50	-14.75	5.38	264.31	-34.94	-69.00	2.06	-2.27	-0.21	-5.61	7.50	2.87	0.5162	0.6007	0.0556	0.6079	2	0	0	3
3.81	10.52	-4.77	25.19	-22.69	15.06	221.38	-15.00	-88.56	6.85	0.94	-6.30	-2.54	9.46	0.23	0.1978	0.7144	0.0725	0.6674	2	0	0	3
11.31	8.56	-13.83	2.38	-23.37	30.37	188.94	1.25	-105.00	11.50	-2.03	-11.25	0.21	9.46	-2.54	0.0634	0.7943	0.0969	0.5964	2	0	0	3
13.37	9.23	-2.67	9.00	-18.75	30.87	230.94	-6.06	-110.62	14.41	0.11	0.76	-1.18	9.12	-3.39	0.3019	0.7561	0.3068	0.4930	2	0	0	3
8.48	5.85	1.56	33.19	-16.56	7.25	297.31	-24.12	-91.25	12.50	-3.09	1.76	-4.05	8.92	0.03	0.6413	0.5466	0.4216	0.3350	2	0	0	3
7.57	9.15	6.47	29.87	-15.19	-17.69	330.19	-15.63	-70.87	10.09	0.87	4.07	-2.46	8.93	3.20	0.8016	0.2456	0.5157	0.1764	3	0	0	3
7.24	13.67	10.14	11.19	-16.37	-33.38	358.88	1.94	-68.69	6.90	4.54	6.58	0.46	9.14	3.51	0.8196	-0.0673	0.5678	-0.0364	3	0	0	3
2.44	7.77	17.91	-25.19	-23.06	-30.75	45.38	2.88	-75.62	1.91	-1.82	14.54	0.44	9.52	2.27	0.6977	-0.2938	0.5615	-0.3340	2	0	0	3
0.50	8.38	8.19	-30.69	-31.00	-12.06	74.44	-6.38	-82.56	1.39	-1.07	6.82	-1.09	9.66	1.25	0.5854	-0.3364	0.5670	-0.4719	1	0	0	3
-0.66	5.38	13.02	-18.56	-35.69	-8.06	105.00	-23.06	-67.56	3.31	-3.42	9.56	-3.85	8.33	3.43	0.4864	-0.2371	0.4883	-0.6847	1	0	0	3
0.22	0.02	17.39	-7.56	-34.88	-19.00	123.00	-34.81	-37.13	5.83	-4.83	10.98	-5.49	4.63	6.67	0.4453	-0.0600	0.3644	-0.8157	1	0	0	3
3.28	-1.49	14.80	-3.38	-21.87	-32.69	110.44	-35.38	-8.75	9.20	-3.03	6.44	-5.68	1.22	7.89	0.5667	0.1621	0.2788	-0.7582	2	0	0	3
4.63	-1.51	9.48	0.56	-2.50	-39.00	77.12	-48.31	-1.06	11.95	-1.63	2.96	-7.43	0.21	6.38	0.7388	0.3403	0.2723	-0.5140	3	0	0	3
8.35	8.74	11.92	21.75	8.25	-32.25	24.37	-54.06	-40.56	16.29	5.00	7.55	-7.94	3.74	4.36	0.8407	0.4321	0.3151	-0.0851	3	0	0	3
10.38	18.82	6.80	35.25	4.06	-17.00	315.25	-44.56	-57.50	17.26	12.93	3.05	-6.88	5.89	3.74	0.7313	0.5347	0.1437	0.3982	3	0	0	3
15.31	26.64	-2.04	38.19	-8.69	2.69	245.50	-42.88	-74.31	21.99	19.72	-3.98	-6.68	6.91	1.93	0.3234	0.6626	-0.1827	0.6504	2	0	0	3
7.17	14.85	-6.22	13.00	-28.37	22.87	188.31	-33.69	-98.06	12.13	6.46	-6.61	-5.44	8.07	-1.14	0.0126	0.6523	-0.3973	0.6454	2	0	0	3
0.92	8.56	-4.63	0.19	-29.06	25.00	165.81	-25.25	-110.12	5.12	0.24	-1.58	-4.19	8.32	-3.05	-0.0845	0.6755	-0.4496	0.5782	2	0	0	3
2.15	11.08	-5.04	-5.69	-27.25	26.75	165.81	-22.19	-110.56	5.87	2.58	-1.85	-3.74	8.48	-3.17	-0.0536	0.7057	-0.4022	0.5807	3	0	0	3
10.08	11.28	-2.34	1.56	-26.56	29.50	200.38	-32.25	-99.00	15.32	3.09	-1.04	-5.23	8.18	-1.30	0.1639	0.6873	-0.2577	0.6590	3	0	0	3
21.12	14.62	1.68	27.56	-24.06	18.00	247.19	-34.00	-69.19	26.61	7.02	-1.19	-5.34	7.58	3.16	0.5153	0.5558	0.0484	0.6506	3	0	0	3
32.10	23.49	16.53	35.00	-18.56	-11.69	313.88	-8.19	-56.50	33.39	15.57	11.58	-1.40	8.09	5.35	0.8534	0.1833	0.4272	0.2358	2	0	0	3
30.34	3.67	29.13	-5.00	-13.56	-40.75	47.63	-12.94	-57.75	32.54	-4.41	24.03	-2.20	8.08	5.09	0.7532	-0.1073	0.4498	-0.4678	1	0	0	3
10.40	-4.39	20.26	-14.56	-31.00	-25.25	113.31	-25.62	-46.13	13.38	-10.84	13.70	-4.24	6.37	6.12	0.4536	-0.1722	0.3823	-0.7864	1	0	0	3
4.25	-9.80	17.04	-4.75	-36.06	-17.69	134.69	-26.37	-34.44	8.57	-13.99	8.96	-4.36	4.96	7.24	0.3757	-0.1567	0.3408	-0.8474	1	0	0	3
6.90	-0.69	9.29	-6.69	-35.69	-18.37	108.06	-26.62	-43.25	11.29	-6.70	2.91	-4.39	6.00	6.38	0.5781	-0.1176	0.4016	-0.7005	1	0	0	3
10.42	5.76	15.60	-18.87	-22.37	-31.19	63.38	-10.56	-43.69	12.47	-0.42	8.86	-1.79	6.66	6.96	0.8234	-0.1047	0.3588	-0.4269	1	0	0	3
14.77	10.16	11.80	-16.75	-4.75	-39.69	8.50	-0.94	-42.25	14.93	3.56	4.55	-0.16	6.59	7.25	0.9320	0.0133	0.3620	0.0131	2	0	0	3
19.05	12.35	12.34	17.75	-5.19	-33.56	310.44	-9.13	-44.50	20.61	5.57	5.44	-1.74	6.75	6.89	0.8016	0.2864	0.2674	0.4517	3	0	0	3
39.22	23.17	15.53	37.38	-16.19	-4.69	231.50	-40.44	-67.19	45.58	17.51	12.21	-6.36	6.88	2.88	0.2127	0.5962	-0.2836	0.7203	2	0	0	3
21.81	26.94	-19.72	-5.19	-34.19	17.25	126.25	-23.56	-108.06	25.73	18.40	-16.93	-3.82	8.51	-2.99	-0.2898	0.4728	-0.6730	0.4894	2	0	0	3
29.68	19.11	0.78	-9.56	-33.50	16.00	166.31	-37.25	-101.56	35.62	11.47	2.35	-5.93	7.64	-1.57	0.0186	0.5548	-0.4368	0.7078	2	0	0	3
32.32	12.30	18.11	29.25	-26.00	5.25	259.19	-29.87	-38.81	36.06	7.65	11.09	-4.88	5.33	6.62	0.6757	0.3427	0.0114	0.6526	2	0	0	3
39.22	10.54	22.06	32.19	5.69	-25.75	336.88	-4.63	-14.38	40.02	8.11	12.59	-0.79	2.43	9.46	0.9893	0.0168	0.1308	0.0630	1	0	0	3
29.39	-11.76	20.45	-23.00	12.00	-36.56	62.88	-4.25	-8.38	30.12	-13.20	10.78	-0.72	1.43	9.67	0.7882	0.0312	0.0721	-0.6104	0	0	0	3
19.77	-12.41	17.42	-17.00	0.00	-38.50	117.19	-27.50	33.69	24.88	-7.67	8.31	-4.53	-4.82	7.22	0.4239	0.4679	0.0632	-0.7729	1	0	0	3
11.98	19.69	15.42	9.19	35.00	-16.69	109.31	-30.44	129.44	16.11	25.75	20.28	-4.99	-5.81	-6.11	0.2342	0.9506	0.0428	-0.1992	2	0	0	3
6.09	17.39	-16.32	13.25	19.50	34.06	355.25	-8.88	-142.88	7.61	11.54	-8.60	-1.52	5.84	-7.72	0.0898	0.9146	-0.0632	0.3892	3	0	0	3
10.60	13.06	-6.06	15.06	-21.50	28.50	225.38	-26.00	-87.81	15.53	4.53	-4.30	-4.30	8.80	0.33	0.3472	0.6373	-0.0123	0.6879	3	0	0	3
