Orientation Sensor Raw Data Test

Current Temperature: 25 C

Calibration status values: 0=uncalibrated, 3=fully calibrated
accelerometer_x	accelerometer_y	accelerometer_z	magnetometer_x	magnetometer_y	magnetometer_z	euler_x	euler_y	euler_z	linearAcceleration_x	linearAcceleration_y	linearAcceleration_z	gravity_x	gravity_y	gravity_z	quaternion_w	quaternion_y	quaternion_x	quaternion_z	calibration_system	calibration_gyro	calibration_accel	calibration_mag
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0000	0.0000	0.0000	0.0000	0	0	0	0
-1.86	3.35	-8.99	-2.56	-2.69	-5.88	192.13	-8.69	-153.31	-0.38	-0.99	-0.33	-1.53	4.36	-8.64	0.2184	-0.1124	0.9633	-0.1085	1	0	0	0
-1.47	4.22	-8.62	-6.19	-6.38	-14.75	195.94	-10.31	-151.13	0.28	-0.42	-0.17	-1.75	4.65	-8.45	0.2368	-0.1335	0.9539	-0.1273	1	0	0	0
0.32	3.27	-9.81	-9.50	-6.38	-23.75	196.69	5.81	-150.44	-0.18	-1.33	-0.43	1.02	4.81	-8.47	0.2577	-0.1501	0.9543	0.0181	1	0	0	0
0.74	2.75	-7.93	-11.75	-7.19	-25.00	201.75	7.69	-153.44	-0.32	-2.01	5.89	1.31	4.33	-8.69	0.2327	-0.1802	0.9550	0.0385	0	0	0	0
0.71	3.73	-9.28	-12.50	-8.50	-24.19	199.94	7.19	-153.88	-0.51	-0.53	-0.54	1.23	4.27	-8.73	0.2304	-0.1661	0.9584	0.0291	0	0	0	0
0.85	4.48	-8.45	-12.56	-8.00	-24.56	199.94	10.81	-156.13	-1.05	0.85	0.43	1.88	3.83	-8.82	0.2132	-0.1753	0.9588	0.0668	0	0	0	0
1.95	3.72	-8.03	-11.56	-7.00	-24.56	205.81	15.56	-151.81	-0.76	-0.24	0.31	2.63	4.45	-8.32	0.2712	-0.2233	0.9326	0.0828	0	0	0	1
1.10	6.00	-7.35	-11.19	-2.88	-25.37	214.06	17.12	-143.75	-1.79	0.46	0.20	2.89	5.53	-7.55	0.3495	-0.2937	0.8882	0.0518	0	0	0	1
3.89	6.18	-8.38	-11.75	3.25	-23.00	341.06	24.19	-140.31	-0.12	0.47	-1.49	4.02	5.70	-6.88	0.3990	-0.4136	0.8161	0.0609	0	0	0	1
5.09	8.20	-7.21	-9.50	9.00	-21.00	355.81	29.06	-120.19	0.32	0.61	-2.88	4.77	7.40	-4.31	0.5524	-0.4273	0.7156	0.0106	0	0	0	1
3.05	7.04	-2.68	-9.00	14.06	-17.06	6.38	28.00	-104.69	-1.87	-1.60	0.20	4.61	8.38	-2.14	0.6284	-0.4166	0.6556	-0.0406	0	0	0	1
2.47	8.57	-3.37	-9.00	16.87	-11.38	14.31	31.94	-98.69	-2.68	0.39	-1.54	5.19	8.22	-1.25	0.6571	-0.4905	0.5668	-0.0801	0	0	0	1
4.14	8.18	-2.35	-7.25	18.75	-8.25	15.06	43.44	-98.94	-2.08	1.25	-1.60	6.74	7.03	-1.10	0.6588	-0.5956	0.4506	-0.0908	0	0	0	1
7.76	5.67	-1.46	-4.06	21.37	-1.56	23.87	50.00	-99.06	0.34	-0.46	-0.13	7.51	6.21	-0.99	0.6541	-0.6625	0.3339	-0.1481	0	0	0	1
6.87	5.85	-2.28	-1.37	21.25	1.25	36.25	50.19	-102.12	-0.62	0.00	-1.17	7.53	6.13	-1.31	0.6199	-0.7090	0.2631	-0.2094	0	0	0	1
6.47	5.57	-1.20	-1.00	21.00	3.50	41.94	51.81	-105.00	-1.02	-0.37	0.52	7.71	5.84	-1.57	0.6013	-0.7355	0.2058	-0.2347	0	0	0	1
13.46	1.10	-8.73	0.06	22.69	5.56	64.87	49.56	-114.06	5.89	-4.80	-6.78	7.46	5.79	-2.59	0.5106	-0.7929	0.0820	-0.3223	0	0	0	2
2.69	14.03	-7.87	-2.06	20.87	2.75	60.56	41.94	-100.31	-4.32	8.09	-5.28	6.55	7.17	-1.30	0.5832	-0.7022	0.2452	-0.3265	1	0	0	2
-1.02	9.44	4.83	-5.25	20.87	-0.06	45.94	44.75	-84.00	-7.51	1.91	4.24	6.90	6.92	0.72	0.6838	-0.6251	0.2435	-0.2872	2	0	0	2
4.96	6.11	6.11	-2.69	21.69	2.38	46.13	48.25	-74.44	-2.32	-0.92	3.19	7.31	6.28	1.75	0.7048	-0.6119	0.1927	-0.3027	3	0	0	2
4.97	8.06	4.32	-3.00	20.56	3.06	48.75	48.94	-74.87	-2.42	1.85	2.64	7.40	6.20	1.69	0.6957	-0.6208	0.1689	-0.3195	3	0	0	2
5.85	6.27	1.50	-2.25	21.00	3.50	53.06	50.88	-75.69	-1.92	0.17	0.16	7.60	5.99	1.52	0.6783	-0.6362	0.1240	-0.3462	3	0	0	2
-0.90	4.01	2.79	-0.06	19.75	5.88	49.69	57.69	-74.56	-9.19	-1.85	1.56	8.29	5.04	1.39	0.6865	-0.6586	0.0662	-0.3010	3	0	0	2
-0.69	-4.91	-4.43	3.88	20.87	5.06	39.81	65.00	-129.44	-9.58	-8.10	-1.80	8.89	3.19	-2.62	0.5156	-0.8333	-0.0112	-0.1994	3	0	0	2
14.59	6.20	-39.22	4.56	22.06	-1.37	341.25	18.87	-152.56	12.06	3.32	-30.99	3.18	4.26	-8.23	0.2027	-0.9321	0.2404	-0.1800	3	0	0	3
-21.85	0.62	16.83	-8.25	17.50	-8.69	7.63	39.75	-144.00	-28.13	-3.80	22.92	6.27	4.42	-6.09	0.4696	-0.7353	0.4881	-0.0248	3	0	0	3
1.22	18.37	-10.28	-3.56	14.25	-14.56	352.31	45.81	-136.69	-5.42	13.70	-6.66	7.06	4.64	-4.96	0.4951	-0.7070	0.5034	0.0397	3	0	0	3
15.89	5.89	-10.12	-2.06	16.69	-13.00	4.25	54.06	-134.25	7.95	1.78	-6.10	7.94	4.11	-4.01	0.5653	-0.7576	0.3197	-0.0654	3	0	0	3
13.03	3.64	-0.35	-1.00	20.87	0.88	50.75	52.94	-82.19	5.20	-2.20	-1.15	7.80	5.83	1.10	0.6678	-0.6436	0.0908	-0.3627	2	0	0	3
-14.60	-12.26	-2.56	-2.06	17.56	12.38	78.69	54.63	-62.69	-22.60	-17.30	-5.16	8.07	4.99	2.44	0.6046	-0.6287	-0.0888	-0.4810	2	0	0	3
2.09	4.59	-17.90	-3.38	17.00	13.88	92.56	36.81	-101.31	-3.78	-3.10	-16.36	5.87	7.69	-1.54	0.3998	-0.7989	0.1276	-0.4309	2	0	0	3
13.95	39.22	-18.03	-8.00	18.75	2.69	92.44	17.75	-130.88	9.89	32.16	-10.98	2.99	7.05	-6.11	0.3500	-0.8319	0.3090	-0.2999	3	0	0	3
0.69	-3.43	-4.01	-5.50	21.25	3.69	65.87	40.94	-86.44	-5.72	-10.82	-4.46	6.42	7.39	0.45	0.6378	-0.6185	0.1738	-0.4248	3	0	0	3
-6.94	11.54	7.86	-9.50	14.75	11.38	83.12	28.31	-51.00	-11.81	7.23	4.33	4.69	6.64	5.46	0.6540	-0.4565	0.0869	-0.5969	3	0	0	3
-5.82	7.81	2.47	-5.19	11.25	17.19	84.06	52.69	-38.25	-13.42	3.83	-2.52	8.04	3.41	4.45	0.6227	-0.5009	-0.2159	-0.5610	3	0	0	3
-1.52	-6.88	-7.82	9.88	5.19	19.56	82.81	81.50	168.19	-10.72	-6.67	-7.11	9.70	-0.29	-1.41	0.4688	-0.5586	-0.5477	-0.4103	3	0	0	3
12.45	-11.32	-31.42	22.19	-0.06	10.06	72.75	58.06	177.19	4.13	-11.07	-26.24	8.32	-0.25	-5.17	0.4171	-0.7250	-0.4651	-0.2899	3	0	0	3
-4.44	35.63	5.37	8.50	18.56	8.19	58.88	53.88	-111.25	-12.46	26.55	2.97	7.92	5.38	-2.09	0.5497	-0.7817	0.0883	-0.2811	3	0	0	3
-0.71	10.92	-5.09	-0.06	22.00	-1.75	31.06	57.94	-126.12	-9.03	6.72	-2.02	8.31	4.20	-3.06	0.5627	-0.8065	0.1400	-0.1157	3	0	0	3
25.73	10.99	-11.15	10.25	18.69	-5.69	349.56	65.19	165.19	16.83	12.04	-7.18	8.90	-1.04	-3.97	0.5434	-0.8347	-0.0733	0.0508	3	0	0	3
3.42	-9.79	-8.01	19.69	11.25	5.06	20.00	61.56	138.88	-5.53	-5.62	0.14	8.62	-3.06	-3.51	0.5468	-0.6939	-0.4486	-0.1351	3	0	0	3
-3.04	-19.67	-6.82	20.69	0.88	9.19	35.75	60.44	131.50	-11.57	-16.05	-3.62	8.53	-3.61	-3.20	0.5942	-0.6163	-0.4731	-0.2078	3	0	0	3
-17.66	9.01	-2.90	5.19	15.19	16.19	62.75	58.81	-53.75	-26.52	5.76	-2.90	8.39	4.09	2.99	0.6870	-0.5825	0.0072	-0.4344	3	0	0	3
-6.68	15.89	-0.69	-10.69	18.56	5.19	65.62	26.50	-94.81	-10.68	8.33	1.41	4.38	8.74	-0.73	0.5275	-0.6537	0.4132	-0.3515	3	0	0	3
-12.06	20.62	-13.10	-12.75	17.87	0.19	108.37	16.81	-119.94	-14.90	12.49	-8.41	2.83	8.13	-4.68	0.2524	-0.8428	0.1434	-0.4533	2	0	0	3
12.76	-6.13	-13.07	3.06	15.56	15.69	155.25	18.06	-106.44	6.29	-11.37	-5.62	3.04	8.94	-2.63	0.1352	-0.8011	-0.0500	-0.5809	2	0	0	3
0.02	3.93	-2.96	-0.75	17.37	14.88	148.50	17.69	-105.06	-2.95	-5.08	-0.53	3.02	9.01	-2.40	0.1653	-0.7871	-0.0419	-0.5928	2	0	0	3
2.02	10.42	-2.48	0.00	16.69	16.25	150.44	17.19	-106.37	-0.82	1.63	-0.46	2.90	8.98	-2.64	0.1561	-0.8002	-0.0485	-0.5770	3	0	0	3
11.61	11.44	-11.77	2.56	17.37	14.38	124.94	27.31	-109.69	7.10	3.25	-8.83	4.50	8.19	-2.94	0.3230	-0.7986	0.0056	-0.5079	3	0	0	3
-3.17	9.48	2.48	-6.75	18.50	10.69	86.25	30.94	-89.50	-8.28	1.30	2.84	4.97	8.44	0.18	0.5394	-0.6595	0.2244	-0.4731	3	0	0	3
-9.35	13.69	4.93	-11.25	18.37	5.69	74.87	28.00	-82.31	-14.65	5.93	4.38	4.63	8.55	1.19	0.5985	-0.6014	0.2634	-0.4591	3	0	0	3
0.44	-0.80	-11.18	-6.88	17.69	12.56	90.75	43.06	-82.00	-6.26	-7.89	-12.17	6.82	6.96	1.03	0.4893	-0.6696	-0.0612	-0.5554	3	0	0	3
9.77	10.81	3.85	3.06	15.19	15.75	87.69	54.88	-86.94	1.73	5.47	2.42	8.02	5.63	0.29	0.5162	-0.6851	-0.1054	-0.5031	3	0	0	3
12.34	8.56	5.78	3.06	14.19	16.06	83.06	59.88	-75.19	3.52	2.83	4.50	8.53	4.64	1.34	0.5698	-0.6332	-0.1580	-0.4995	3	0	0	3
-2.94	-7.27	-0.33	4.25	13.06	16.06	84.00	64.94	-81.06	-11.83	-11.38	-0.98	8.90	4.08	0.54	0.5386	-0.6628	-0.1982	-0.4808	3	0	0	3
-3.96	0.51	0.14	3.88	13.38	17.25	112.56	38.63	-99.94	-8.77	-5.69	-0.40	6.12	7.54	-1.32	0.3268	-0.7729	-0.0466	-0.5419	3	0	0	3
9.58	16.79	-12.00	0.25	20.25	7.69	117.31	23.31	-128.38	5.69	9.74	-6.41	3.88	7.05	-5.59	0.2451	-0.8902	0.0450	-0.3813	3	0	0	3
3.56	9.37	-5.52	-0.75	21.69	4.19	113.12	23.00	-127.75	-0.27	2.23	0.00	3.83	7.13	-5.52	0.2607	-0.8757	0.0845	-0.3976	3	0	0	3
8.69	17.09	-9.73	-4.00	19.87	10.75	109.44	27.75	-104.44	4.12	8.69	-7.56	4.56	8.40	-2.16	0.4055	-0.7415	0.0739	-0.5294	3	0	0	3
