Orientation Sensor Raw Data Test

Current Temperature: 28 C

Calibration status values: 0=uncalibrated, 3=fully calibrated
time	eul_z	eul_y	eul_x	linA_x	linA_y	linA_z	cal_sys	cal_gyr	cal_acc	cal_mag
1659	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0
140	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0
105	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0
105	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0
105	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0
107	0.06	-1.75	-2.00	-0.00	0.07	0.08	0	0	0	0
106	0.19	-1.56	-2.00	-0.07	0.57	0.26	0	0	0	0
106	3.00	1.44	-2.00	0.19	1.25	1.45	0	0	0	0
108	6.19	5.88	3.63	1.12	1.43	3.36	0	0	0	0
107	14.13	-2.25	-3.25	-0.22	1.03	0.96	0	0	0	0
107	15.06	-0.25	1.19	-0.84	-0.34	-0.99	0	0	0	0
108	12.38	-0.69	-1.50	1.41	-0.96	0.38	0	0	0	0
106	10.88	1.37	-4.63	0.67	-0.87	1.12	0	0	0	0
106	5.00	1.06	-3.50	0.50	-1.30	0.80	0	0	0	0
106	355.06	0.69	0.06	0.98	-0.36	-1.36	0	0	0	0
106	346.19	-1.44	-2.75	1.11	0.26	-2.24	0	0	0	0
107	337.19	2.94	-7.81	0.75	-1.89	-0.64	0	0	0	0
108	331.50	7.94	-7.56	-4.36	-4.55	1.68	0	0	0	0
106	334.81	7.75	-0.56	-7.55	-2.13	3.77	0	0	0	0
107	348.88	7.63	7.38	-7.03	3.86	4.22	0	0	0	0
106	358.75	0.56	11.69	-3.72	7.58	2.45	0	0	0	1
106	13.50	0.94	12.31	-0.82	7.05	1.27	0	0	0	1
106	28.69	-0.44	13.38	0.51	6.65	1.16	0	0	0	1
107	36.00	-4.88	10.56	2.72	7.41	0.48	0	0	0	1
107	41.13	-12.75	0.69	6.91	5.54	-0.03	0	0	0	1
108	44.50	-15.69	-11.38	11.98	0.15	2.11	0	0	0	1
108	34.75	-6.19	-21.25	7.56	-7.30	1.92	0	0	0	1
106	18.31	12.06	-18.94	-0.80	-5.25	2.41	0	0	0	1
106	352.88	29.75	-1.75	-6.34	-3.57	6.52	0	0	0	1
106	345.06	27.94	18.69	-11.28	-4.49	6.68	0	0	0	2
107	354.81	15.94	22.25	-11.06	4.15	7.84	0	0	0	2
108	12.81	6.94	23.44	-5.02	13.31	7.44	0	0	0	2
108	28.69	-1.50	21.31	0.73	15.17	3.13	0	0	0	2
106	41.00	-8.25	15.56	5.08	11.49	2.11	0	0	0	2
107	53.94	-14.94	6.63	10.51	6.97	3.62	0	0	0	2
106	54.25	-19.50	-7.19	12.33	-1.56	4.98	0	0	0	2
106	40.00	-6.63	-17.31	6.15	-7.97	2.60	0	0	0	2
106	24.75	14.50	-19.31	-0.92	-5.76	2.27	0	0	0	2
106	5.63	29.69	-5.88	-4.23	-5.88	4.54	0	0	0	3
107	1.94	28.81	13.88	-7.30	-4.73	5.44	0	0	0	3
108	0.81	18.06	22.75	-7.03	4.04	7.28	0	0	0	3
107	16.06	14.38	23.00	-3.90	10.06	5.71	0	0	0	3
107	30.31	7.75	21.56	-1.40	9.89	2.26	0	0	0	3
106	41.06	1.12	17.00	1.87	9.34	0.98	0	0	0	3
106	51.00	-4.69	9.13	6.36	8.21	1.82	0	0	0	3
106	54.50	-12.63	-6.63	9.72	2.38	4.32	0	0	0	3
108	33.75	-6.38	-20.75	7.21	-4.88	4.01	0	0	0	3
106	15.13	12.81	-20.00	0.60	-6.86	2.99	0	0	0	3
107	351.88	27.94	-0.12	-4.06	-5.98	3.49	0	0	0	3
108	344.25	24.31	20.06	-8.36	-2.54	6.19	0	0	0	3
106	348.19	13.75	26.75	-8.21	7.40	10.05	0	0	0	3
