Orientation Sensor Raw Data Test

Current Temperature: 31 C

Calibration status values: 0=uncalibrated, 3=fully calibrated
time	eul_z	eul_y	eul_x	linA_x	linA_y	linA_z	cal_sys	cal_gyr	cal_acc	cal_mag
1658	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0
50	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0
44	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0
45	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0
43	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0
44	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0
44	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0
43	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0
44	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0
44	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0
43	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0
44	358.00	1.56	-7.44	-0.02	-0.17	0.03	0	0	0	0
49	358.31	1.56	-7.19	-0.01	-0.29	0.07	0	0	0	0
48	358.38	2.00	-6.88	-0.01	-0.36	0.10	0	0	0	0
49	358.44	1.94	-6.31	-0.02	-0.43	0.22	0	0	0	0
49	358.38	1.94	-5.69	-0.00	-0.51	0.27	0	0	0	0
49	358.50	1.31	-7.19	-0.24	-0.53	0.11	0	0	0	0
49	358.56	2.50	-9.44	-0.29	-0.70	-0.13	0	0	0	0
50	357.25	3.63	-8.88	-0.13	-0.69	0.24	0	0	0	0
49	356.38	2.44	-8.38	-0.34	-0.87	-0.02	0	0	0	0
50	355.50	4.81	-8.19	-0.38	-0.75	-0.16	0	0	0	0
49	357.06	7.44	-9.00	0.22	-0.75	0.07	0	0	0	0
48	357.75	7.75	-9.19	0.39	-0.52	0.35	0	0	0	0
48	358.06	6.31	-9.75	0.27	-0.56	-0.16	0	0	0	0
49	358.88	6.00	-12.31	0.50	-0.46	0.04	0	0	0	0
49	359.56	6.38	-15.69	0.44	-0.87	0.06	0	0	0	0
49	358.75	7.81	-16.81	0.05	-1.00	0.14	0	0	0	0
49	356.19	7.75	-16.00	-0.27	-1.03	0.28	0	0	0	0
49	353.06	6.50	-14.44	-0.38	-0.90	0.34	0	0	0	0
50	351.25	5.25	-13.44	-0.42	-0.73	0.16	0	0	0	0
51	350.13	4.38	-12.88	-0.39	-0.32	0.25	0	0	0	0
50	348.44	3.50	-11.75	-0.30	-0.04	-0.01	0	0	0	0
50	347.38	4.25	-10.94	0.05	0.18	0.02	0	0	0	0
48	347.19	3.25	-9.81	0.06	-0.09	0.02	0	0	0	0
48	346.81	1.56	-8.81	0.03	-0.44	0.15	0	0	0	0
48	345.88	1.12	-8.88	0.12	-0.65	0.30	0	0	0	0
47	343.00	0.88	-10.00	-0.01	-0.46	0.38	0	0	0	0
51	341.44	0.37	-10.31	-0.29	-0.66	0.20	0	0	0	0
50	339.94	0.06	-10.00	-0.21	-0.43	0.19	0	0	0	0
50	338.75	0.31	-9.81	-0.28	-0.17	0.20	0	0	0	0
48	337.94	-0.25	-8.88	-0.20	-0.08	0.03	0	0	0	0
50	337.50	-0.69	-8.75	-0.11	-0.22	0.07	0	0	0	0
50	337.81	-1.25	-8.25	0.00	-0.29	-0.01	0	0	0	0
51	337.19	-1.63	-7.88	-0.05	-0.28	0.08	0	0	0	0
49	336.69	-2.31	-7.69	0.15	-0.51	0.14	0	0	0	0
49	335.94	-3.31	-7.75	0.03	-0.57	0.14	0	0	0	0
49	335.25	-4.13	-8.13	0.25	-0.72	0.15	0	0	0	0
49	334.06	-4.13	-8.38	0.31	-0.69	0.37	0	0	0	0
48	333.06	-4.00	-8.88	0.36	-0.97	0.65	0	0	0	0
49	331.31	-3.81	-8.81	0.10	-0.91	0.92	0	0	0	0
50	329.63	-3.19	-8.56	-0.27	-1.01	1.32	0	0	0	0
49	327.81	-2.56	-7.75	-0.86	-0.96	1.86	0	0	0	0
50	327.63	-1.63	-7.19	-1.29	-1.09	1.98	0	0	0	0
50	327.69	-1.81	-4.56	-1.31	-0.55	1.42	0	0	0	0
50	327.63	-2.06	-2.25	-1.11	0.02	0.41	0	0	0	0
48	328.75	-2.38	-2.31	-0.76	0.02	-0.26	0	0	0	0
51	329.25	-3.38	-2.06	-0.31	0.06	-1.16	0	0	0	0
50	330.13	-4.13	-2.38	0.11	0.24	-1.61	0	0	0	0
