Orientation Sensor Raw Data Test

Current Temperature: 27 C

Calibration status values: 0=uncalibrated, 3=fully calibrated
accelerometer_x	accelerometer_y	accelerometer_z	magnetometer_x	magnetometer_y	magnetometer_z	euler_x	euler_y	euler_z	linearAcceleration_x	linearAcceleration_y	linearAcceleration_z	gravity_x	gravity_y	gravity_z	quaternion_w	quaternion_y	quaternion_x	quaternion_z	calibration_system	calibration_gyro	calibration_accel	calibration_mag
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0000	0.0000	0.0000	0.0000	0	0	0	0
-5.34	0.48	-12.24	-6.69	-26.00	-12.25	338.81	33.94	-56.56	-8.81	-10.02	-18.76	5.47	6.79	4.47	0.8384	-0.2117	0.4756	0.1613	0	0	0	1
-4.44	-3.08	-9.47	-37.88	-38.50	3.69	344.63	26.37	-68.87	-8.80	-11.27	-12.63	4.36	8.19	3.16	0.7912	-0.2032	0.5646	0.1180	0	0	0	1
-9.76	-3.27	-5.12	-42.50	-36.19	10.38	342.56	42.31	-104.19	-15.89	-11.66	-3.18	6.60	7.02	-1.78	0.5839	-0.4910	0.6390	0.0978	0	0	0	1
-16.85	-0.39	4.38	-40.50	-17.75	8.38	263.94	35.75	-151.56	-22.58	-4.17	11.38	5.81	3.43	-7.10	0.2971	-0.6671	0.6655	0.1548	0	0	0	1
-5.81	-0.62	1.21	-30.56	6.88	11.00	279.31	17.37	152.50	-8.74	3.68	9.52	2.92	-4.31	-8.30	-0.0698	-0.7288	0.6212	0.2794	0	0	0	2
-7.01	3.09	5.85	-23.56	15.06	11.75	271.88	5.13	142.13	-7.89	9.08	13.57	0.87	-5.98	-7.71	-0.2238	-0.6708	0.6609	0.2513	2	0	0	2
-6.51	3.65	4.88	-15.38	16.75	12.75	261.06	-1.56	136.69	-5.39	10.39	11.65	-0.34	-6.77	-7.08	-0.3079	-0.5876	0.7142	0.2233	1	0	0	2
-6.32	3.34	6.56	-11.06	17.06	11.88	61.50	-4.38	133.31	-5.56	10.45	13.27	-0.75	-7.10	-6.71	-0.3504	-0.5424	0.7388	0.1929	0	0	0	2
-5.79	4.52	5.72	-7.69	16.37	13.75	51.00	-7.31	131.38	-3.97	12.50	12.65	-1.31	-7.35	-6.34	-0.3823	-0.5237	0.7408	0.1756	0	0	0	2
-5.71	4.61	6.69	-5.06	15.50	13.75	296.88	-32.94	-31.56	-0.33	0.43	-0.39	-5.33	4.31	7.00	-0.7886	-0.3735	-0.0526	-0.4857	0	0	0	2
-4.68	5.28	7.47	-5.19	15.00	15.19	315.69	-31.19	-31.31	0.39	0.92	0.31	-5.07	4.36	7.16	-0.8644	-0.3405	-0.1229	-0.3488	0	0	0	2
-4.13	4.91	7.86	-4.25	16.25	12.56	316.81	-27.81	-31.00	0.21	0.47	0.44	-4.57	4.47	7.42	-0.8705	-0.3229	-0.1311	-0.3475	0	0	0	2
-4.82	4.58	8.78	-2.38	14.75	15.06	312.88	-29.19	-29.87	-1.09	-0.50	-1.62	-4.79	4.26	7.41	-0.8483	-0.3550	-0.1110	-0.3769	1	0	0	2
-3.66	4.29	10.44	-1.56	10.06	16.19	301.44	-23.12	-27.69	0.19	0.10	2.46	-3.75	4.20	8.02	-0.8342	-0.2675	-0.0980	-0.4721	2	0	0	2
-1.53	-1.29	11.39	2.06	7.56	13.50	301.69	-11.63	-15.88	3.32	-2.28	-0.27	-1.98	2.63	9.23	-0.8688	-0.1330	-0.0807	-0.4701	2	0	0	3
