Orientation Sensor Raw Data Test

Current Temperature: 31 C

Calibration status values: 0=uncalibrated, 3=fully calibrated
accelerometer_x	accelerometer_y	accelerometer_z	magnetometer_x	magnetometer_y	magnetometer_z	euler_x	euler_y	euler_z	linearAcceleration_x	linearAcceleration_y	linearAcceleration_z	gravity_x	gravity_y	gravity_z	quaternion_w	quaternion_y	quaternion_x	quaternion_z	calibration_system	calibration_gyro	calibration_accel	calibration_mag
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0000	0.0000	0.0000	0.0000	0	0	0	0
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0000	0.0000	0.0000	0.0000	0	0	0	0
-2.82	-1.19	-7.90	15.56	0.19	-11.88	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.3887	0.5723	-0.7202	0.0521	0	0	0	0
-3.26	-5.31	-10.38	12.56	-5.56	-5.19	342.63	-31.75	140.31	1.90	0.01	-3.96	-5.16	-5.32	-6.41	0.4218	0.5206	-0.7390	0.0714	0	0	0	0
-5.20	-2.87	-9.12	7.00	-11.69	-4.38	333.75	-41.88	133.63	1.03	2.66	-4.03	-6.55	-5.28	-5.03	0.4925	0.5323	-0.6780	0.1204	0	0	0	0
-5.01	-3.63	-8.19	6.00	-15.06	-5.19	334.00	-46.19	116.87	2.06	2.41	-5.13	-7.08	-6.05	-3.06	0.5889	0.4697	-0.6440	0.1338	0	0	0	0
-2.19	-5.32	-4.28	2.56	-17.50	-9.56	335.50	-51.75	92.44	4.94	0.89	-3.69	-7.70	-6.06	-0.25	0.6933	0.4667	-0.5286	0.1489	0	0	0	0
-6.45	-2.94	-3.85	3.50	-20.50	-11.38	338.50	-64.44	79.31	2.39	1.21	-4.64	-8.84	-4.15	0.78	0.7197	0.5683	-0.3765	0.1319	0	0	0	1
-6.62	-5.14	-3.03	2.69	-20.06	-9.69	344.44	-71.12	76.00	2.65	-2.07	-3.79	-9.29	-3.03	0.75	0.7280	0.6187	-0.2822	0.0873	0	0	0	1
-3.58	-3.09	-3.33	2.56	-20.56	-7.88	355.63	-72.50	110.69	5.92	-0.96	-2.46	-9.35	-2.75	-1.04	0.6483	0.7245	-0.2341	0.0018	0	0	0	1
-3.80	-6.55	-9.71	7.19	-20.06	-7.19	8.00	-49.88	145.13	3.69	-2.93	-4.53	-7.50	-3.61	-5.18	0.4662	0.8157	-0.3411	-0.0300	0	0	0	2
-2.63	-5.67	-11.67	13.19	-13.50	-10.38	10.25	-39.19	146.31	3.93	-1.45	-4.70	-6.19	-4.21	-6.32	0.4108	0.7830	-0.4659	-0.0330	0	0	0	2
-1.27	-3.79	-11.55	16.25	-9.75	-9.88	103.12	-30.62	148.69	3.52	0.38	-4.41	-4.91	-4.37	-7.26	-0.0145	0.6003	0.7182	-0.3515	0	0	0	2
0.08	-2.09	-9.20	17.37	-4.50	-12.06	91.25	-25.56	149.63	4.32	2.37	-1.57	-4.24	-4.46	-7.63	-0.0182	0.6684	0.6685	-0.3257	0	0	0	2
0.24	-2.38	-10.32	17.75	-1.56	-11.25	74.50	-14.88	149.19	3.18	2.59	-1.87	-2.52	-4.85	-8.13	-0.0554	0.7823	0.5510	-0.2853	0	0	0	2
1.89	-3.98	-9.74	15.56	6.38	-12.56	53.50	-7.38	145.63	3.16	1.49	-1.71	-1.23	-5.53	-8.00	-0.0701	0.8584	0.4122	-0.2972	3	0	0	3
-0.16	-1.24	-11.61	13.75	9.38	-13.69	45.38	-5.50	141.75	0.77	5.10	-3.63	-0.94	-6.03	-7.66	-0.0750	0.8736	0.3505	-0.3292	3	0	0	3
-0.99	-4.30	-10.53	10.06	9.56	-15.00	35.75	-4.56	136.13	-0.20	2.46	-3.48	-0.79	-6.77	-7.05	-0.0741	0.8810	0.2756	-0.3774	3	0	0	3
1.23	-3.29	-7.96	9.00	7.00	-16.19	191.31	-9.31	128.25	3.21	4.49	-1.49	-1.58	-7.59	-5.99	-0.0410	0.8525	0.2701	-0.4456	3	0	0	3
-1.00	-4.30	-8.71	8.50	4.88	-16.00	192.56	-9.69	124.81	0.72	3.43	-3.39	-1.65	-7.93	-5.51	-0.0566	0.8385	0.2711	-0.4693	3	0	0	3
-2.43	-6.05	-8.74	7.69	4.19	-18.06	190.06	-11.00	121.75	-0.55	2.12	-3.68	-1.90	-8.19	-5.03	-0.0366	0.8269	0.2628	-0.4958	3	0	0	3
-2.80	-9.43	-8.76	6.38	1.69	-19.00	183.44	-14.31	111.75	-0.37	-0.61	-5.23	-2.42	-8.82	-3.52	-0.0112	0.7743	0.2402	-0.5853	3	0	0	3
-0.53	-8.45	-3.73	4.75	-3.50	-19.37	172.13	-22.69	91.75	3.64	0.33	-2.93	-3.79	-9.04	-0.27	0.0554	0.6540	0.2333	-0.7175	3	0	0	3
0.33	-0.21	-4.35	0.88	-11.69	-17.25	169.31	-36.06	79.75	6.11	7.58	-5.76	-5.77	-7.80	1.40	0.0643	0.5544	0.3591	-0.7480	3	0	0	3
-3.23	-5.90	-6.20	3.00	-11.56	-16.56	177.81	-36.44	91.56	2.59	1.97	-5.98	-5.78	-7.91	-0.35	0.0078	0.5972	0.4181	-0.6844	3	0	0	3
-4.55	-5.29	-8.18	8.88	-6.88	-17.50	180.63	-31.62	109.69	0.64	2.21	-5.31	-5.14	-7.86	-2.81	-0.0034	0.6827	0.4427	-0.5813	3	0	0	3
-3.89	-5.54	-8.50	10.56	-3.25	-19.56	182.63	-25.69	119.00	0.36	2.18	-4.22	-4.25	-7.72	-4.28	-0.0150	0.7433	0.4167	-0.5231	3	0	0	3
-0.84	-6.92	-8.43	10.56	1.06	-17.69	188.00	-19.06	121.12	2.36	1.00	-3.63	-3.21	-7.92	-4.79	-0.0413	0.7757	0.3749	-0.5060	3	0	0	3
-1.15	-7.47	-7.92	11.25	0.25	-17.69	193.88	-16.12	119.37	1.34	0.72	-3.22	-2.73	-8.21	-4.60	-0.0654	0.7715	0.3705	-0.5130	3	0	0	3
-2.30	-9.47	-8.91	11.69	-1.06	-17.69	193.00	-19.19	113.00	0.92	-0.95	-5.29	-3.22	-8.52	-3.62	-0.0623	0.7202	0.3812	-0.5764	3	0	0	3
-2.03	-7.47	-6.42	9.88	-6.19	-18.50	185.31	-26.69	96.75	2.20	1.49	-5.44	-4.41	-8.69	-1.03	-0.0247	0.6334	0.3635	-0.6827	3	0	0	3
-3.43	-7.16	-3.65	2.56	-9.75	-18.56	174.88	-31.94	82.81	1.75	1.09	-4.69	-5.20	-8.22	1.17	0.0393	0.5676	0.3232	-0.7562	3	0	0	3
-3.13	-8.16	-1.28	1.50	-13.38	-19.00	169.75	-35.50	68.87	2.57	-0.56	-4.27	-5.69	-7.44	2.87	0.0730	0.4874	0.3262	-0.8067	3	0	0	3
-3.52	-6.63	-0.06	-0.88	-16.56	-13.06	169.75	-44.63	55.38	3.36	-0.89	-4.02	-6.89	-5.74	3.96	0.0748	0.3597	0.4052	-0.8372	3	0	0	3
-6.54	-4.07	-0.87	-1.56	-20.69	-10.00	169.31	-61.38	41.00	2.20	-1.04	-4.45	-8.60	-3.08	3.54	0.0707	0.2322	0.5270	-0.8145	3	0	0	3
-8.13	-5.90	-1.28	-1.25	-21.19	-7.00	171.94	-69.69	50.56	1.06	-3.27	-3.44	-9.23	-2.57	2.06	0.0537	0.2064	0.6019	-0.7695	3	0	0	3
-7.63	-6.32	-1.12	0.19	-21.19	-7.50	176.63	-73.56	69.62	1.86	-3.28	-2.25	-9.40	-2.59	0.96	0.0142	0.1960	0.6530	-0.7314	3	0	0	3
-5.65	-3.88	-5.16	2.25	-21.37	-6.25	181.13	-73.12	101.75	3.73	-1.10	-4.58	-9.38	-2.78	-0.58	-0.0137	0.2054	0.7040	-0.6797	3	0	0	3
-2.39	-5.31	-4.88	4.06	-21.75	-7.56	195.00	-56.63	114.50	5.85	-0.61	-2.90	-8.19	-4.90	-2.23	-0.0947	0.3394	0.7205	-0.5972	3	0	0	3
-0.87	-6.96	-8.89	14.56	-15.38	-7.56	224.00	-27.50	118.06	3.50	0.44	-4.89	-4.22	-7.79	-4.18	-0.2272	0.5685	0.6368	-0.4687	3	0	0	3
1.00	-7.05	-11.39	19.69	-4.69	-7.88	247.81	0.75	123.87	0.86	1.08	-5.92	0.13	-8.13	-5.47	-0.2568	0.7690	0.4404	-0.3857	3	0	0	3
1.77	-5.39	-11.47	14.88	5.88	-14.25	229.44	6.06	127.87	0.72	2.30	-5.48	1.04	-7.69	-5.99	-0.1543	0.8696	0.2267	-0.4106	3	0	0	3
3.22	-4.99	-8.93	6.50	8.19	-19.37	186.38	0.63	123.69	2.92	3.09	-3.19	0.11	-8.15	-5.43	-0.0105	0.8749	0.0138	-0.4840	3	0	0	3
-0.52	-8.86	-4.82	-6.19	4.00	-20.75	159.44	-4.13	113.81	-0.10	-0.19	-1.19	-0.75	-9.00	-3.80	0.1158	0.8138	-0.0872	-0.5628	3	0	0	3
-2.84	-7.92	-5.43	-9.00	0.00	-20.56	150.00	-10.13	91.50	-1.11	1.72	-5.17	-1.73	-9.64	-0.25	0.1863	0.6935	-0.0504	-0.6941	2	0	0	3
-5.12	-4.90	-4.33	-9.38	-7.69	-20.06	150.38	-14.31	75.19	-2.37	4.62	-6.30	-2.43	-9.18	2.42	0.2053	0.6049	0.0031	-0.7693	2	0	0	3
-1.67	-10.58	1.29	-9.00	-9.75	-17.69	154.06	-12.94	68.06	0.52	-1.72	-2.27	-2.19	-8.86	3.56	0.1718	0.5510	0.0262	-0.8162	2	0	0	3
-7.69	-10.77	-0.71	-3.88	-14.19	-15.38	166.25	-17.44	54.25	-4.79	-3.15	-6.31	-2.94	-7.59	5.46	0.1003	0.4268	0.1326	-0.8889	3	0	0	3
-6.64	-3.80	-2.28	-3.88	-18.87	-13.50	162.75	-23.25	40.81	-2.53	2.36	-9.15	-3.86	-5.86	6.84	0.1537	0.3544	0.1485	-0.9103	3	0	0	3
-1.23	-5.47	0.26	-7.19	-17.37	-11.50	156.69	-11.56	47.00	0.73	1.55	-6.27	-1.97	-7.03	6.54	0.1916	0.4297	0.0036	-0.8824	3	0	0	3
0.28	-10.99	0.47	-9.00	-14.19	-15.00	155.88	1.19	70.37	-0.18	-2.18	-2.49	0.34	-9.30	3.07	0.1603	0.5836	-0.1542	-0.7810	3	0	0	3
-3.64	-13.05	-4.57	-10.75	-6.75	-19.50	158.44	5.75	94.19	-4.73	-3.55	-3.71	0.98	-9.73	-0.71	0.1245	0.7197	-0.2159	-0.6479	3	0	0	3
-3.65	-13.27	-5.19	-11.88	-1.00	-19.00	145.50	0.44	105.25	-3.85	-3.98	-2.97	0.07	-9.45	-2.58	0.2009	0.7527	-0.2365	-0.5807	3	0	0	3
-3.70	-9.31	-1.98	-15.88	0.00	-15.75	115.25	-20.37	92.50	-0.27	-0.13	-1.58	-3.67	-9.09	-0.21	0.4171	0.6851	-0.1006	-0.5887	3	0	0	3
-4.62	5.62	-4.60	-16.87	1.88	-16.69	101.94	-47.88	74.00	2.65	11.94	-6.41	-7.27	-6.32	1.80	0.4755	0.6466	0.1301	-0.5822	3	0	0	3
-3.82	-4.43	-3.69	-11.75	4.25	-18.69	111.00	-38.31	99.31	3.20	4.16	-2.64	-6.01	-7.60	-1.44	0.3499	0.7679	0.0566	-0.5335	3	0	0	3
-3.74	-2.60	-10.13	-6.69	6.50	-20.19	130.88	-31.06	121.81	1.31	4.52	-5.70	-5.06	-7.13	-4.42	0.1953	0.8447	0.1949	-0.4588	3	0	0	3
-1.68	-3.73	-12.05	6.06	6.56	-19.75	153.63	-25.62	135.44	2.66	2.96	-6.03	-4.20	-6.14	-6.38	0.0740	0.8370	0.3668	-0.3993	3	0	0	3
-3.18	-3.05	-11.81	12.06	4.38	-17.06	179.50	-21.56	137.00	0.10	3.80	-4.57	-3.61	-6.21	-6.67	-0.0150	0.7819	0.4709	-0.4083	3	0	0	3
-6.03	-3.66	-12.83	16.19	0.50	-17.06	195.50	-17.94	126.06	-2.60	3.23	-7.34	-3.03	-7.61	-5.38	-0.0498	0.7706	0.4052	-0.4894	3	0	0	3
-0.46	-8.93	-8.79	10.00	0.06	-18.75	169.00	-25.37	111.81	3.74	-0.71	-5.50	-4.20	-8.22	-3.29	0.0823	0.7505	0.2799	-0.5930	3	0	0	3
-3.23	-7.41	-7.59	1.56	-3.56	-23.19	154.19	-35.56	90.44	2.24	0.86	-7.96	-5.70	-7.97	-0.06	0.1719	0.6384	0.2739	-0.6984	3	0	0	3
-5.67	-1.49	-3.86	-1.50	-6.75	-21.19	149.56	-40.25	81.94	0.66	5.90	-4.90	-6.34	-7.40	1.04	0.1948	0.6057	0.2830	-0.7178	3	0	0	3
-2.36	-3.62	-1.35	-2.56	-7.88	-19.69	151.31	-35.50	81.62	3.33	4.26	-2.51	-5.66	-7.92	1.11	0.1865	0.6271	0.2360	-0.7186	3	0	0	3
-2.82	-4.99	-3.22	-1.19	-5.38	-21.69	147.88	-33.31	92.44	2.70	3.66	-3.01	-5.39	-8.18	-0.35	0.1872	0.6983	0.2154	-0.6564	3	0	0	3
-1.54	-4.75	-6.59	-0.75	0.75	-21.69	145.88	-32.94	111.06	3.79	2.92	-3.63	-5.33	-7.67	-2.96	0.1569	0.7808	0.2586	-0.5468	3	0	0	3
-1.08	-13.95	-10.28	6.75	2.25	-21.19	171.94	-24.25	126.44	3.11	-6.47	-5.32	-4.03	-7.18	-5.31	0.0003	0.7733	0.4178	-0.4771	3	0	0	3
-2.31	-5.78	-13.14	15.06	-7.19	-13.75	211.75	-25.44	114.69	1.90	2.25	-9.43	-4.31	-8.03	-3.60	-0.1703	0.5537	0.6027	-0.5487	3	0	0	3
-4.17	-4.86	-7.37	15.88	-14.06	-8.56	208.56	-39.94	103.75	2.13	2.43	-5.58	-6.30	-7.29	-1.78	-0.1528	0.4238	0.6254	-0.6371	3	0	0	3
-1.87	-4.15	-3.78	11.06	-17.25	-8.25	200.06	-41.69	91.25	4.79	2.84	-3.80	-6.52	-7.31	-0.15	-0.1158	0.4599	0.5457	-0.6909	3	0	0	3
-1.44	-7.69	-5.79	10.75	-13.69	-13.38	195.44	-32.13	94.44	3.77	0.58	-5.15	-5.21	-8.27	-0.64	-0.0872	0.5815	0.4536	-0.6697	3	0	0	3
-3.78	-11.76	-7.97	10.50	-7.88	-16.87	181.50	-29.31	104.69	1.24	-3.73	-5.76	-4.80	-8.26	-2.16	0.0195	0.6795	0.3943	-0.6183	3	0	0	3
-4.70	-8.39	-6.60	7.06	-5.00	-20.50	149.25	-45.94	106.94	2.34	-1.87	-4.62	-7.05	-6.52	-1.98	0.2031	0.6436	0.4162	-0.6094	3	0	0	3
-4.58	-3.13	-3.89	-0.69	-5.69	-21.25	125.19	-66.62	95.87	4.54	1.05	-3.30	-9.00	-3.86	-0.40	0.3326	0.5411	0.4672	-0.6150	3	0	0	3
-4.15	-0.45	-3.23	-4.00	-6.88	-21.00	119.62	-77.87	101.69	5.43	1.55	-2.81	-9.58	-2.00	-0.41	0.3495	0.4753	0.5576	-0.5840	3	0	0	3
-4.61	-0.53	-6.48	-0.37	-8.00	-20.06	116.37	-73.62	170.38	4.65	-0.30	-4.02	-9.41	-0.45	-2.72	0.3079	0.4507	0.6781	-0.4923	3	0	0	3
-4.33	-2.22	-10.22	4.06	-9.50	-19.00	119.81	-56.25	-178.19	3.82	-2.39	-4.78	-8.15	0.17	-5.43	0.2166	0.4180	0.7913	-0.3902	3	0	0	3
-5.52	-1.50	-14.31	9.06	-14.19	-14.19	135.63	-40.69	178.13	0.98	-1.42	-6.89	-6.39	-0.24	-7.42	0.1058	0.3373	0.8755	-0.3293	3	0	0	3
1.04	-1.29	-5.48	6.69	-17.75	-11.38	146.13	-43.56	171.06	8.23	-0.03	1.80	-6.74	-1.13	-7.02	0.0314	0.2566	0.8920	-0.3708	3	0	0	3
0.68	-4.09	-9.13	8.00	-20.19	-6.56	146.44	-31.00	163.38	5.48	-2.38	-1.24	-5.05	-2.40	-8.05	-0.0569	0.2845	0.9171	-0.2736	3	0	0	3
0.18	-3.59	-11.44	10.88	-19.50	-3.06	139.00	-15.69	161.81	2.84	-0.64	-2.47	-2.56	-2.97	-8.98	-0.1064	0.3694	0.9075	-0.1691	3	0	0	3
0.67	-2.81	-12.31	16.69	-13.38	-1.50	113.37	-8.13	156.94	2.06	0.98	-3.37	-1.39	-3.80	-8.93	-0.1301	0.5715	0.7902	-0.1794	3	0	0	3
1.63	-11.39	-12.78	20.00	-5.38	-6.25	79.50	-12.56	145.38	4.11	-6.56	-5.80	-2.13	-5.43	-7.87	-0.0867	0.7349	0.5828	-0.3359	3	0	0	3
3.29	-5.68	-9.95	15.00	-3.19	-16.06	176.94	-36.13	117.87	9.07	1.31	-6.24	-5.96	-7.01	-3.38	0.0368	0.6122	0.4957	-0.6148	3	0	0	3
-1.87	-5.80	-3.64	5.88	-14.06	-16.56	170.19	-50.75	76.81	5.61	0.26	-4.38	-7.60	-6.03	1.41	0.0671	0.4105	0.4802	-0.7723	3	0	0	3
-3.79	-3.25	-0.53	-0.56	-19.37	-11.75	169.44	-60.94	48.00	4.77	0.28	-3.71	-8.57	-3.54	3.18	0.0740	0.2487	0.5253	-0.8104	3	0	0	3
-5.87	-2.62	-0.33	-3.38	-20.75	-8.25	171.63	-69.87	47.13	3.34	-0.16	-2.62	-9.23	-2.45	2.18	0.0479	0.2003	0.6051	-0.7691	3	0	0	3
-6.36	-3.62	-3.96	0.19	-21.56	-7.06	177.94	-74.25	94.19	3.30	-0.65	-4.00	-9.43	-2.65	-0.19	0.0075	0.2126	0.6999	-0.6818	3	0	0	3
-6.82	-4.00	-8.17	3.00	-20.06	-7.06	181.69	-62.19	135.56	1.85	-0.80	-4.91	-8.67	-3.19	-3.26	-0.0081	0.2872	0.7813	-0.5541	3	0	0	3
-4.09	-3.00	-10.94	7.38	-18.69	-10.25	173.88	-50.63	150.13	3.78	-0.06	-5.15	-7.58	-3.09	-5.39	0.0389	0.4090	0.7819	-0.4690	3	0	0	3
3.24	-14.58	-5.57	11.06	-14.00	-14.19	179.81	-34.00	138.56	8.73	-9.21	0.51	-5.29	-5.45	-6.19	-0.0294	0.6642	0.6241	-0.4103	3	0	0	3
4.54	-14.36	-8.31	19.69	-3.75	-10.56	246.88	-5.56	131.56	5.49	-7.06	-1.83	-0.75	-7.39	-6.39	-0.2938	0.6590	0.6069	-0.3333	3	0	0	3
2.72	-7.81	-9.40	21.50	-6.00	3.69	287.31	-0.44	105.87	2.81	1.61	-6.71	-0.08	-9.43	-2.68	-0.5087	0.4238	0.6506	-0.3719	3	0	0	3
-0.70	-7.24	-7.91	19.00	-8.50	8.75	276.19	-14.38	91.44	1.72	2.25	-7.67	-2.43	-9.49	-0.24	-0.4862	0.3302	0.6399	-0.4951	3	0	0	3
2.13	-9.55	-7.04	18.19	-14.25	0.88	216.13	-34.81	104.12	8.14	-2.92	-4.49	-5.65	-7.73	-2.11	-0.1208	0.5199	0.5887	-0.6070	3	0	0	3
1.56	-12.85	-0.90	10.25	-12.50	-15.00	180.56	-42.88	90.19	8.23	-5.67	-0.88	-6.67	-7.18	-0.02	0.0186	0.4875	0.4882	-0.7236	3	0	0	3
-0.51	-4.06	0.09	3.69	-18.00	-12.69	170.06	-65.19	68.62	7.85	0.11	-1.72	-9.00	-3.61	1.40	0.0707	0.2758	0.6029	-0.7453	3	0	0	3
-7.03	1.91	-6.93	-0.56	-20.50	-8.69	166.75	-76.75	143.19	2.67	2.52	-5.24	-9.54	-1.34	-1.79	0.0684	0.2056	0.7576	-0.6157	3	0	0	3
-5.48	-2.35	-7.63	1.88	-20.75	-9.50	161.38	-62.75	160.69	3.23	-0.87	-3.40	-8.72	-1.47	-4.23	0.0950	0.2901	0.8080	-0.5040	3	0	0	3
-6.14	-1.58	-13.67	5.50	-16.87	-13.50	145.63	-49.69	170.75	1.31	-0.45	-7.85	-7.48	-1.01	-6.25	0.1301	0.4041	0.8129	-0.3987	3	0	0	3
-2.63	-1.58	-10.52	8.75	-11.75	-16.69	131.44	-52.88	165.00	5.18	-0.05	-4.80	-7.82	-1.52	-5.71	0.2015	0.5497	0.6914	-0.4233	3	0	0	3
-0.46	-2.24	-8.05	7.75	-4.88	-20.19	125.00	-52.06	149.88	7.26	0.77	-2.84	-7.73	-3.02	-5.21	0.2194	0.6843	0.5475	-0.4287	3	0	0	3
0.48	-5.86	-8.43	8.75	1.19	-20.19	135.94	-37.19	142.75	6.41	-1.13	-2.21	-5.92	-4.72	-6.22	0.1431	0.8002	0.4376	-0.3842	3	0	0	3
1.06	-7.16	-13.65	13.19	3.75	-17.06	72.50	-23.31	151.81	4.92	-2.88	-6.20	-3.88	-4.25	-7.93	0.0024	0.7422	0.6011	-0.2964	3	0	0	3
1.78	-8.89	-15.84	19.25	-4.88	-9.50	113.25	-22.00	147.13	5.46	-3.96	-8.20	-3.68	-4.92	-7.63	-0.1406	0.4431	0.8218	-0.3296	3	0	0	3
-2.47	-1.90	-9.65	8.75	-21.19	-2.75	209.19	-48.88	145.06	4.60	2.00	-4.55	-7.39	-3.68	-5.28	-0.1086	0.1501	0.8524	-0.4890	3	0	0	3
-1.03	3.30	-4.31	2.25	-22.00	-1.56	189.50	-68.75	136.25	8.10	5.75	-1.75	-9.14	-2.44	-2.56	-0.0503	0.1693	0.7631	-0.6216	3	0	0	3
4.12	0.18	-7.58	5.88	-20.37	-7.06	200.25	-49.81	103.75	12.50	6.32	-6.27	-7.49	-6.13	-1.50	-0.1230	0.4051	0.6448	-0.6365	3	0	0	3
2.57	-17.93	-21.57	16.00	-11.06	-11.75	221.63	-12.69	117.44	4.72	-9.45	-17.15	-2.15	-8.48	-4.41	-0.1667	0.7479	0.4407	-0.4676	3	0	0	3
