Orientation Sensor Raw Data Test

Current Temperature: 29 C

Calibration status values: 0=uncalibrated, 3=fully calibrated
accelerometer_x	accelerometer_y	accelerometer_z	magnetometer_x	magnetometer_y	magnetometer_z	euler_x	euler_y	euler_z	linearAcceleration_x	linearAcceleration_y	linearAcceleration_z	gravity_x	gravity_y	gravity_z	quaternion_w	quaternion_y	quaternion_x	quaternion_z	calibration_system	calibration_gyro	calibration_accel	calibration_mag
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0000	0.0000	0.0000	0.0000	0	0	0	0
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0000	0.0000	0.0000	0.0000	0	0	0	0
-27.38	-33.16	39.22	-19.69	-6.88	8.50	40.13	65.25	18.37	-36.28	-31.86	35.32	8.50	-1.23	4.72	0.8630	-0.3905	-0.1489	-0.2838	0	0	0	2
39.12	-20.71	39.22	-0.88	-15.25	-3.50	11.88	-16.19	-38.81	41.86	-26.62	31.88	-2.73	5.90	7.33	0.8738	0.2230	0.4224	-0.0911	0	0	0	2
13.33	18.79	-39.22	8.56	-15.19	-6.56	33.56	20.50	3.63	9.89	19.38	-48.39	3.43	-0.58	9.16	0.9130	-0.2198	-0.1553	-0.3066	0	0	0	2
26.88	-4.63	-1.84	-5.00	-7.06	-7.19	52.56	55.13	11.31	18.83	-3.52	-7.33	8.22	-0.93	5.25	0.7615	-0.4015	-0.2676	-0.4327	0	0	0	3
1.43	-2.01	1.75	5.69	-9.69	-9.00	81.81	14.19	-21.19	0.54	-4.44	-5.54	2.40	3.43	8.86	0.7202	-0.2029	0.0685	-0.6600	0	0	0	3
1.63	-1.12	-11.64	18.75	-10.50	-8.38	110.94	7.56	-20.06	0.34	-4.45	-20.77	1.34	3.26	9.14	0.5141	-0.1773	0.0190	-0.8390	0	0	0	3
3.15	0.31	-20.46	17.87	-4.06	-13.56	145.25	17.87	-8.75	-0.11	-1.24	-30.46	3.01	1.42	9.22	0.2546	-0.0966	-0.1642	-0.9481	0	0	0	3
3.92	1.75	-22.56	8.38	8.50	-16.69	157.25	34.56	11.50	-1.64	3.37	-30.47	5.56	-1.61	7.90	0.2021	0.0644	-0.3318	-0.9192	0	0	0	3
14.54	9.43	-31.33	7.25	16.37	-12.19	168.06	41.88	44.94	8.91	15.74	-36.03	6.72	-5.14	4.94	0.0157	0.2893	-0.4298	-0.8552	0	0	0	3
14.48	20.48	-27.81	-8.88	20.25	2.50	237.63	85.00	1.06	5.64	20.86	-18.62	9.76	-0.18	0.83	-0.3281	0.3463	-0.6252	-0.6177	0	0	0	3
-5.74	6.24	-39.22	-19.00	4.75	4.69	300.56	48.88	6.81	-13.13	7.00	-45.61	7.39	-0.76	6.39	-0.7615	0.4166	-0.1448	-0.4749	0	0	0	3
2.07	-4.03	-21.02	-14.25	11.56	10.69	280.25	47.19	70.56	-5.41	2.57	-24.90	7.08	-6.49	1.94	-0.5706	0.6570	0.0524	-0.4900	0	0	0	3
1.02	-2.28	-8.15	-6.19	10.38	21.00	273.00	29.75	111.44	-4.03	5.34	-3.95	4.87	-7.91	-3.11	-0.3954	0.8004	0.2304	-0.3871	0	0	0	3
0.88	-1.13	3.86	-3.25	7.19	22.25	258.88	16.81	121.87	-1.96	6.82	8.82	2.84	-7.96	-4.96	-0.2971	0.8179	0.3036	-0.3881	0	0	0	3
0.90	-2.50	0.98	2.00	4.88	24.75	231.38	2.13	129.56	0.53	5.04	7.22	0.36	-7.54	-6.24	-0.1585	0.8344	0.3618	-0.3843	0	0	0	3
0.26	-3.96	0.79	6.19	1.56	23.87	307.06	-15.75	135.31	2.93	2.66	7.51	-2.66	-6.63	-6.71	-0.3499	0.0633	0.9132	-0.1992	0	0	0	3
1.81	-1.62	-6.44	12.88	-0.88	23.37	271.38	-29.69	141.06	6.68	3.71	0.18	-4.86	-5.34	-6.63	-0.2635	0.0295	0.9164	-0.2999	0	0	0	3
2.25	-2.50	-21.66	15.88	-6.00	20.06	214.81	-47.69	157.06	9.50	0.05	-15.58	-7.40	-2.36	-5.98	-0.0825	0.0377	0.8859	-0.4550	0	0	0	3
1.80	-4.27	-16.85	21.87	-15.25	10.19	169.44	-69.62	-174.63	11.00	-4.59	-13.46	-9.19	0.31	-3.39	0.0714	0.0461	0.8035	-0.5891	3	0	0	3
2.16	-4.67	-31.89	21.37	-13.69	0.37	152.88	-85.25	-4.50	10.95	-7.04	-29.97	-9.77	0.77	0.21	0.1776	0.1298	0.6532	-0.7245	3	0	0	3
-0.92	-19.04	-37.81	16.87	-11.50	-10.88	161.75	-53.00	11.00	6.91	-17.92	-43.60	-7.83	-1.12	5.78	0.1345	0.1168	0.3505	-0.9195	2	0	0	3
-8.30	-20.89	-19.03	5.00	-15.50	-13.88	136.44	-6.25	-17.31	-7.23	-23.79	-28.34	-1.07	2.90	9.30	0.4776	-0.1519	0.0385	-0.8645	1	0	0	3
-39.22	-39.22	36.14	-19.56	-3.06	-8.38	91.06	26.56	21.06	-43.61	-36.06	27.96	4.62	-3.26	8.00	0.6644	-0.1838	-0.3873	-0.6122	1	0	0	3
13.26	-2.93	-30.29	-18.06	9.50	9.56	56.38	75.12	-52.44	3.78	-4.92	-31.82	9.47	1.99	1.52	0.6029	-0.6754	-0.2109	-0.3685	2	0	0	3
10.61	3.60	-11.64	-12.00	1.00	17.87	92.75	54.63	-127.81	2.45	-0.46	-6.04	7.80	4.62	-3.73	0.3378	-0.8113	-0.2409	-0.4120	2	0	0	3
-30.05	28.63	-38.15	-5.19	-2.69	21.37	137.38	-6.50	-51.25	-28.93	21.03	-44.25	-1.11	7.60	6.09	0.2534	-0.2271	0.1593	-0.9268	0	0	0	3
2.47	-3.81	-20.44	-7.50	-18.25	-10.69	125.62	7.44	-13.13	0.19	-5.67	-28.28	1.27	2.21	9.46	0.4811	-0.1116	-0.0427	-0.8685	0	0	0	3
-39.22	-39.22	33.11	-15.38	-9.19	-12.00	91.06	-1.31	14.06	-38.99	-36.83	23.60	-0.23	-2.39	9.50	0.7943	0.0305	-0.1048	-0.5976	1	0	0	3
8.41	0.66	-18.73	-21.00	4.19	4.38	57.31	54.31	-41.06	0.44	-3.09	-23.04	7.96	3.75	4.31	0.6982	-0.5891	-0.0225	-0.4063	1	0	0	3
10.75	12.72	-31.65	-22.69	-1.88	4.00	87.87	26.87	-64.19	6.32	4.85	-35.46	4.43	7.87	3.80	0.5524	-0.4970	0.1498	-0.6522	1	0	0	3
4.02	-0.85	-11.66	-10.06	-19.25	3.25	144.69	0.56	-54.63	4.51	-8.58	-17.15	0.10	8.00	5.66	0.2308	-0.4353	0.1317	-0.8602	0	0	0	3
2.19	-0.52	-7.08	3.25	-21.75	3.56	188.25	-14.38	-45.81	4.63	-7.33	-13.69	-2.44	6.81	6.61	-0.1249	-0.3755	0.1031	-0.9126	0	0	0	3
5.62	3.96	-1.08	18.25	-16.37	-1.50	228.19	-20.94	-28.56	9.13	-0.42	-9.12	-3.55	4.23	8.09	-0.4409	-0.2745	0.0781	-0.8510	0	0	0	3
17.53	26.19	11.73	22.50	-5.88	-5.38	257.00	-20.94	-5.56	26.25	38.32	2.62	-3.51	0.89	9.11	-0.5989	-0.1296	0.1537	-0.7751	0	0	0	3
-16.54	4.93	-39.22	22.19	7.50	7.19	258.13	-45.75	58.75	-9.51	10.78	-42.76	-7.10	-5.67	3.68	-0.4943	0.0019	0.5132	-0.7016	0	0	0	3
13.30	-9.33	-39.22	23.50	-0.56	-0.69	224.38	-35.88	47.06	19.05	-3.51	-44.63	-5.74	-5.81	5.41	-0.3019	0.2593	0.4114	-0.8199	0	0	0	3
8.88	-5.61	-38.96	18.75	5.88	-12.50	205.56	-12.44	72.69	9.72	4.42	-42.00	-2.12	-9.14	2.84	-0.1521	0.5754	0.2312	-0.7697	1	0	0	3
10.71	-9.88	-15.39	11.75	13.56	-13.38	181.31	-6.38	83.12	11.80	-0.21	-16.56	-1.08	-9.67	1.16	0.0098	0.6530	0.0630	-0.7547	1	0	0	3
6.03	-5.94	-3.67	5.25	12.19	-19.00	186.19	-1.81	68.62	5.29	4.19	-9.02	-0.31	-9.13	3.56	-0.0607	0.5397	0.0512	-0.8381	0	0	0	3
5.77	-6.41	-7.78	7.75	3.50	-20.50	204.25	-1.88	33.75	7.16	-1.53	-16.72	-0.32	-5.45	8.14	-0.2271	0.2182	0.0888	-0.9449	0	0	0	3
3.55	-2.34	-4.65	17.87	-9.50	-12.38	222.06	-28.62	-2.38	8.25	-2.71	-13.25	-4.70	0.36	8.59	-0.3672	-0.1707	0.2666	-0.8746	0	0	0	3
-37.35	1.02	39.22	21.06	-8.50	6.75	233.56	-81.00	-6.94	-29.46	-3.22	37.70	-9.68	0.18	1.51	-0.3446	-0.2416	0.5856	-0.6927	0	0	0	3
-2.45	-1.01	-25.22	21.00	-7.69	9.88	230.44	-76.00	-23.25	7.06	-1.95	-27.40	-9.42	1.03	2.49	-0.3303	-0.3035	0.4959	-0.7435	0	0	0	3
10.83	-8.43	-38.86	20.19	-11.25	5.19	212.13	-54.00	9.13	18.77	-7.51	-44.54	-7.93	-0.91	5.68	-0.2379	-0.0209	0.4284	-0.8715	2	0	0	3
8.77	-4.37	-39.22	18.06	-5.50	-12.06	204.25	-23.44	42.50	13.35	1.41	-45.85	-3.90	-6.08	6.63	-0.1830	0.3305	0.2458	-0.8926	2	0	0	3
7.43	-5.76	-32.03	10.06	2.88	-18.06	194.69	1.12	61.44	7.23	2.84	-36.72	0.20	-8.61	4.68	-0.0916	0.5443	0.0211	-0.8336	2	0	0	3
9.38	-9.91	-2.71	1.00	10.75	-19.25	183.00	5.56	75.12	6.96	1.37	-1.64	0.91	-9.43	2.52	-0.0178	0.5958	-0.0377	-0.8021	2	0	0	3
1.29	-1.20	-4.31	7.06	5.19	-21.25	199.75	-7.94	43.75	2.41	5.77	-10.98	-1.35	-6.71	7.01	-0.1750	0.3222	0.1558	-0.9172	1	0	0	3
0.52	-0.26	-7.33	17.56	-4.25	-14.19	213.31	-25.62	33.31	4.84	4.47	-14.88	-4.24	-4.86	7.38	-0.2787	0.1788	0.3302	-0.8839	0	0	0	3
2.90	-4.19	-7.95	21.19	-3.50	-7.88	221.50	-43.19	53.56	9.62	1.55	-12.19	-6.71	-5.74	4.23	-0.2970	0.1827	0.5377	-0.7676	0	0	0	3
0.94	-6.57	-3.06	22.69	-5.69	3.88	216.31	-65.19	96.62	9.85	-2.49	-2.58	-9.01	-3.77	-0.76	-0.1794	0.0375	0.7515	-0.6339	0	0	0	3
-9.75	-10.43	-6.88	11.69	-17.00	10.06	164.25	-56.31	-127.81	-0.97	-11.94	-5.51	-8.16	4.29	-3.33	0.1268	-0.3245	0.7424	-0.5723	2	0	0	3
-4.69	-3.08	-20.04	-3.50	-21.37	4.25	137.13	-37.63	-87.12	1.13	-11.40	-21.39	-5.99	7.75	0.38	0.2701	-0.3322	0.5675	-0.7033	2	0	0	3
-5.05	-12.58	-19.44	0.50	-22.06	-0.75	154.44	-40.94	-43.44	1.43	-18.58	-24.62	-6.42	5.09	5.37	0.1736	-0.2126	0.3889	-0.8795	2	0	0	3
-7.65	-16.38	-4.74	-0.69	-21.00	-0.75	150.19	-8.13	-52.00	-8.46	-25.16	-9.43	-1.39	7.65	5.97	0.2678	-0.4408	0.1567	-0.8423	2	0	0	3
2.12	-1.43	-6.56	-11.88	-17.06	6.56	123.81	36.75	-57.38	-3.74	-8.05	-10.80	5.87	6.61	4.23	0.4237	-0.4912	-0.1886	-0.7373	2	0	0	3
-39.22	-36.17	36.29	-20.50	-6.88	5.88	91.19	57.75	-7.75	-47.52	-17.96	21.05	8.29	0.70	5.17	0.6198	-0.5720	-0.2910	-0.4517	2	0	0	3
-22.75	24.10	19.74	-17.00	6.50	13.38	69.50	73.00	-25.06	-32.14	22.89	17.15	9.38	1.21	2.58	0.5835	-0.5382	-0.2944	-0.5321	2	0	0	3
-4.07	3.43	-37.88	-19.06	4.25	9.69	69.75	70.69	-22.81	-8.05	-0.96	-42.15	9.25	1.25	2.98	0.6339	-0.5267	-0.3146	-0.4709	2	0	0	3
-29.42	26.59	-26.57	-20.50	2.50	10.19	65.50	69.25	-19.62	-38.60	25.42	-29.84	9.17	1.16	3.26	0.7367	-0.4932	-0.1982	-0.4182	2	0	0	3
2.00	13.52	39.22	-20.50	6.88	6.69	58.06	64.94	-16.56	-15.49	12.14	35.24	8.88	1.18	3.97	0.7295	-0.5050	-0.2004	-0.4155	3	0	0	3
8.67	-0.84	39.22	-22.00	7.19	1.56	55.06	57.50	-10.69	0.40	-1.82	34.04	8.27	0.97	5.17	0.7804	-0.4620	-0.1484	-0.3943	3	0	0	3
16.85	-5.03	-39.22	-22.00	8.56	-2.00	53.63	57.81	-14.81	8.55	-6.37	-44.27	8.30	1.33	5.04	0.7251	-0.5430	-0.1872	-0.3799	3	0	0	3
13.29	-4.06	-37.32	-15.75	3.50	16.87	90.75	68.81	-144.56	-0.39	-5.06	-30.18	9.01	2.08	-3.24	0.3477	-0.6965	-0.4816	-0.4025	3	0	0	3
3.91	-1.55	-8.21	0.06	-4.75	21.69	135.81	41.94	-151.06	-2.58	-5.02	-1.50	6.42	3.61	-6.46	0.1237	-0.6950	-0.5952	-0.3839	2	0	0	3
2.97	-0.84	-4.12	7.69	-8.06	20.50	89.44	24.69	-148.63	-1.13	-5.48	3.47	4.10	4.63	-7.60	-0.0455	-0.6606	-0.6768	-0.3217	2	0	0	3
2.80	-0.68	-4.43	14.88	-11.00	14.25	100.50	10.44	-144.88	1.02	-6.23	3.45	1.65	5.61	-7.86	-0.1934	-0.5922	-0.7404	-0.2525	2	0	0	3
3.02	-0.81	-5.13	16.06	-13.75	9.56	115.56	-1.37	-137.88	3.56	-7.54	2.11	-0.24	6.56	-7.27	-0.3341	-0.4745	-0.7963	-0.1705	2	0	0	3
4.19	-1.33	-15.29	15.56	-17.75	0.06	337.13	-9.31	-126.37	5.48	-9.46	-9.75	-1.64	7.88	-5.60	-0.4804	-0.3051	-0.8196	-0.0660	3	0	0	3
6.09	-3.07	-31.56	10.06	-19.19	-6.88	4.88	-12.31	-107.44	8.19	-12.21	-28.68	-2.10	9.13	-2.87	-0.6293	-0.1100	-0.7681	0.0426	3	0	0	3
4.61	-3.24	-26.24	0.25	-13.75	-16.50	16.37	-4.00	-79.62	5.30	-12.87	-28.00	-0.68	9.62	1.75	-0.7772	0.0727	-0.6127	0.1233	3	0	0	3
5.29	-3.17	-35.64	-8.00	-7.25	-19.50	28.31	7.88	-58.31	3.42	-11.60	-40.06	1.52	8.13	5.26	-0.8508	0.2244	-0.4124	0.2361	3	0	0	3
3.96	-2.74	-30.41	-18.87	1.00	-14.19	42.75	25.62	-40.13	-0.78	-8.28	-37.04	4.24	5.69	6.75	-0.8480	0.3581	-0.1719	0.3508	2	0	0	3
2.46	-1.52	-12.67	-21.75	4.56	-5.88	54.88	46.19	-34.56	-4.61	-5.37	-18.25	7.08	3.85	5.58	-0.7728	0.4795	0.0160	0.4155	2	0	0	3
1.05	-0.37	-8.01	-21.06	6.00	4.25	62.56	61.56	-31.44	-7.80	-2.94	-12.38	8.68	2.32	3.92	-0.7098	0.5237	0.1730	0.4381	2	0	0	3
0.40	-0.10	-2.32	-21.06	5.69	9.75	67.50	71.50	-1.94	-9.14	0.12	-5.11	9.30	0.10	3.10	-0.6691	0.4851	0.3378	0.4504	2	0	0	3
0.13	0.43	1.99	-17.50	5.25	13.25	68.87	76.25	47.75	-9.38	2.15	0.43	9.52	-1.72	1.56	-0.6192	0.4585	0.4782	0.4216	2	0	0	3
0.21	1.01	4.80	-13.75	6.38	16.37	63.13	69.81	97.50	-9.02	4.33	5.21	9.20	-3.34	-0.44	-0.5856	0.4453	0.5778	0.3537	3	0	0	3
0.22	1.99	10.26	-11.25	6.75	18.75	53.38	56.31	108.44	-7.72	7.14	11.83	8.16	-5.15	-1.72	-0.5709	0.3831	0.6690	0.2823	3	0	0	3
0.88	2.34	-8.38	-5.75	8.56	19.19	31.00	40.63	101.50	-5.28	9.82	-7.51	6.23	-7.44	-1.34	-0.6564	0.3263	0.6674	0.1309	3	0	0	3
2.40	2.14	-14.71	-0.06	17.56	14.06	342.25	16.75	73.37	-0.14	10.95	-19.09	2.83	-8.99	2.68	-0.7968	0.2574	0.5228	-0.1596	3	0	0	3
4.83	0.17	-20.00	13.69	19.37	0.25	302.31	-2.44	48.63	5.29	7.35	-27.09	-0.42	-7.35	6.47	-0.7862	0.1757	0.3510	-0.4773	3	0	0	3
7.86	-6.29	-26.23	19.25	10.69	-8.19	259.81	-3.38	39.94	8.44	0.00	-33.73	-0.58	-6.29	7.50	-0.5515	0.2655	0.2379	-0.7542	3	0	0	3
13.57	-39.22	-14.10	18.19	4.50	-14.50	220.38	-16.50	62.63	16.37	-30.87	-18.42	-2.79	-8.34	4.32	-0.1446	0.3658	0.4164	-0.8197	3	0	0	3
2.62	-0.29	-30.04	5.38	-18.69	-10.69	121.81	-49.56	-60.81	10.09	-5.84	-33.13	-7.46	5.54	3.09	0.4141	-0.1570	0.5256	-0.7264	3	0	0	3
1.68	-1.46	-22.47	-12.69	-17.69	-6.69	107.00	-5.13	-44.81	2.55	-8.35	-29.39	-0.87	6.88	6.92	0.5796	-0.2764	0.2092	-0.7375	2	0	0	3
-0.15	-1.07	-14.76	-20.56	-7.50	-7.50	89.25	15.75	-14.25	-2.89	-3.31	-23.25	2.67	2.32	9.14	0.7170	-0.1462	-0.0430	-0.6802	2	0	0	3
-3.45	-1.48	-5.57	-19.56	4.38	-11.50	78.81	1.81	14.31	-3.77	0.94	-15.06	0.32	-2.43	9.49	0.7642	0.1141	-0.1127	-0.6247	3	0	0	3
-31.11	15.79	-39.22	-18.06	5.50	-11.19	84.06	43.56	-23.50	-28.28	18.07	-45.02	7.15	3.36	5.80	0.7130	-0.4241	-0.0417	-0.5569	3	0	0	3
-37.63	-0.31	-39.11	-23.19	1.75	-2.88	90.62	19.56	3.31	-40.92	0.22	-48.33	3.29	-0.53	9.22	0.7249	-0.1442	-0.1494	-0.6568	3	0	0	3
-39.22	17.21	39.22	-20.87	9.50	1.00	48.88	33.50	11.88	-44.64	32.29	7.65	5.41	-1.68	7.99	0.8878	-0.1771	-0.1512	-0.3970	3	0	0	3
16.77	-3.73	-25.64	-18.75	12.25	-6.00	47.06	32.25	3.94	11.54	-3.16	-33.91	5.23	-0.56	8.27	0.8660	-0.2765	-0.1670	-0.3818	3	0	0	3
15.72	-1.41	-23.21	-19.19	11.69	1.69	57.81	51.81	-8.38	10.72	2.63	-7.32	7.70	0.88	5.99	0.7606	-0.4473	-0.1490	-0.4464	3	0	0	3
37.65	39.22	11.74	-22.69	-3.88	5.19	97.12	29.50	-58.63	21.49	31.93	-2.87	4.83	7.29	4.43	0.5894	-0.1981	0.0108	-0.7831	3	0	0	3
5.71	-7.88	-31.20	-16.87	-6.00	-13.88	90.12	-3.13	2.13	6.25	-7.50	-40.99	-0.53	-0.37	9.78	0.7520	0.0295	-0.0604	-0.6557	3	0	0	3
0.95	-3.64	-2.82	-17.69	10.25	-10.75	55.94	-5.38	27.06	1.87	0.79	-11.51	-1.09	-4.54	8.61	0.8707	0.1785	-0.1942	-0.4152	3	0	0	3
-39.22	-38.49	13.56	-7.19	20.06	-7.69	36.44	12.50	13.69	-41.35	-13.11	-8.19	2.12	-2.27	9.29	0.9427	-0.2238	0.0551	-0.2411	3	0	0	3
7.90	1.82	-27.91	-17.25	8.50	-12.69	46.75	33.63	-32.38	2.46	-2.54	-34.80	5.69	4.41	6.64	0.8140	-0.4148	0.0770	-0.3994	3	0	0	3
39.22	39.22	21.70	-24.19	0.88	1.25	84.56	23.31	-71.87	35.33	30.66	-0.89	3.88	8.55	2.79	0.5890	-0.4783	0.2394	-0.6058	2	0	0	3
-1.77	6.48	-39.22	-17.19	-2.75	-15.19	83.50	-13.69	10.13	0.80	0.01	-48.50	-2.32	-1.68	9.37	0.7654	0.1598	-0.0176	-0.6231	2	0	0	3
-2.59	-13.84	-5.36	-12.88	15.25	-11.56	47.50	-17.25	27.12	0.31	-9.57	-13.69	-3.06	-4.30	8.26	0.9112	0.2453	-0.1517	-0.2942	2	0	0	3
-30.66	38.89	-28.10	-3.06	23.25	-6.19	7.56	17.75	-16.87	-33.65	36.17	-37.04	2.99	2.71	8.93	0.9417	-0.2352	0.2372	-0.0419	2	0	0	3
19.87	6.30	-8.58	-14.88	8.06	-14.38	30.50	30.81	-36.25	16.70	-1.25	-20.07	5.02	4.97	6.78	0.8613	-0.3694	0.2005	-0.2857	2	0	0	3
-13.47	36.96	-18.97	-20.25	-5.38	-10.56	73.44	-6.50	-9.81	-12.36	35.29	-28.57	-1.11	1.66	9.60	0.8015	0.0837	0.0757	-0.5872	2	0	0	3
4.04	-5.41	-12.02	-12.00	10.88	-15.25	53.94	-12.81	10.25	6.15	-1.24	-22.32	-2.17	-1.70	9.40	0.8970	0.1412	-0.0557	-0.4153	2	0	0	3
2.50	-3.77	-24.13	-11.25	17.37	-10.56	29.75	-7.13	31.56	3.72	1.31	-32.42	-1.21	-5.09	8.28	0.9250	0.1252	-0.2902	-0.2106	2	0	0	3
1.64	-2.14	-11.66	-4.38	22.75	3.56	6.56	-5.69	54.19	2.70	6.11	-16.18	-0.97	-7.91	5.70	0.8784	0.0797	-0.4701	-0.0320	3	0	0	3
1.80	-2.97	-6.06	1.75	21.37	8.56	345.00	-11.75	66.00	3.82	6.04	-9.88	-2.00	-8.77	3.89	0.8212	0.0472	-0.5537	0.1296	3	0	0	3
0.48	-6.27	-14.31	10.88	17.75	11.00	316.38	-20.25	70.31	4.12	2.68	-18.19	-3.51	-8.63	3.03	0.7328	-0.0164	-0.5873	0.3432	3	0	0	3
